week,angle1,angle2,exposure,salinity,temperature,NAP,penetrability,grainsize,humus,chalk,sorting1,Beach,Richness
1,32,96,10,29.4,17.5,0.045,253.9,222.5,0.05,2.05,69.83,1,11
1,62,96,10,29.4,17.5,-1.036,226.9,200,0.3,2.5,59,1,10
1,65,96,10,29.4,17.5,-1.336,237.1,194.5,0.1,3.45,59.22,1,13
1,55,96,10,29.4,17.5,0.616,248.6,221,0.15,1.6,67.75,1,11
1,23,96,10,29.4,17.5,-0.684,251.9,202,0.05,2.45,57.76,1,10
1,129,89,8,29.6,20.8,1.19,250.1,192.5,0.1,2.5,53.075,2,8
1,126,89,8,29.6,20.8,0.82,257.1,205.5,0.1,1.85,54.41,2,9
1,52,89,8,29.6,20.8,0.635,247.9,211.5,0.1,1.7,60.405,2,8
1,26,89,8,29.6,20.8,0.061,248.9,205.5,0.15,2.3,58.81,2,19
1,143,89,8,29.6,20.8,-1.334,257.9,197,0,2.6,59.575,2,17
